cluster,davies_bouldin_score,dose
2,1.2810433183480772,common_compounds
3,3.063449652637557,common_compounds
4,3.275469815137323,common_compounds
5,3.0282026315058603,common_compounds
6,2.8370609932805113,common_compounds
7,2.6233857653670194,common_compounds
8,3.316595511790621,common_compounds
9,3.0917398780961602,common_compounds
10,3.1019856430834225,common_compounds
11,2.9422388469721743,common_compounds
12,3.4026927135350387,common_compounds
13,3.3230421562159336,common_compounds
14,2.8506880433667985,common_compounds
15,3.304117816621083,common_compounds
16,3.5459918980277942,common_compounds
17,3.1901537348298907,common_compounds
18,3.3560774150016934,common_compounds
19,3.4739966585222968,common_compounds
20,3.269039952220827,common_compounds
21,3.51666517769905,common_compounds
22,3.3250370572876324,common_compounds
23,3.3477991059503687,common_compounds
24,3.3832145332740673,common_compounds
25,3.35048877474126,common_compounds
26,3.3469688083820306,common_compounds
27,3.138606779113264,common_compounds
28,3.384845212383979,common_compounds
29,3.329066515400423,common_compounds
30,3.561627017039169,common_compounds
31,3.1926888012845853,common_compounds
32,3.4639241164977195,common_compounds
33,3.0283315278303617,common_compounds
34,3.3868798955398063,common_compounds
35,3.5258911413635103,common_compounds
36,3.5439545822312817,common_compounds
37,3.432421454519952,common_compounds
38,3.336223385351016,common_compounds
39,3.51428788349135,common_compounds
40,3.524977094898806,common_compounds
