cluster,Average_silhouette_score,dose
2,0.7462285683276387,all_threshold
3,0.5983081705904228,all_threshold
4,0.5922232259752646,all_threshold
5,0.488363832294803,all_threshold
6,0.488398184133773,all_threshold
7,0.49077904167679937,all_threshold
8,0.49122707276952937,all_threshold
9,0.4955121766586813,all_threshold
10,0.5017466479474397,all_threshold
11,0.5036394342769849,all_threshold
12,0.5046684183851952,all_threshold
13,0.42047217961435857,all_threshold
14,0.41942816111650083,all_threshold
15,0.4212021944235348,all_threshold
16,0.41180723847248907,all_threshold
17,0.4266715711715024,all_threshold
18,0.33109415212204835,all_threshold
19,0.4228950027648663,all_threshold
20,0.3593200534542963,all_threshold
21,0.4190017048328556,all_threshold
22,0.35899985669540163,all_threshold
23,0.4263426748648324,all_threshold
24,0.3275197721045228,all_threshold
25,0.30485110627848294,all_threshold
26,0.3043387635089521,all_threshold
27,0.30177403944853703,all_threshold
28,0.30947847732278194,all_threshold
29,0.3423615478266767,all_threshold
30,0.34334079735761697,all_threshold
31,0.32735332236531706,all_threshold
32,0.30428349153731665,all_threshold
33,0.31216676979410257,all_threshold
34,0.3115707105716916,all_threshold
35,0.3036121292591799,all_threshold
36,0.2893818704566124,all_threshold
37,0.316957278394474,all_threshold
38,0.34481310061470344,all_threshold
39,0.30821257811535757,all_threshold
40,0.3120295226503591,all_threshold
